epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,10782,0.97042,1.46156,1.22022,0.53552,0.43357,0.41989,0.30771,1.03531,1.58219,1.28943,0.000181025,0.000181025,0.000181025
43,11038.8,0.95858,1.44583,1.21168,0.52002,0.44209,0.41656,0.30468,1.02909,1.58526,1.28657,0.000164602,0.000164602,0.000164602
44,11295.1,0.95017,1.43044,1.20595,0.52793,0.45077,0.41863,0.305,1.0329,1.57809,1.28755,0.000148791,0.000148791,0.000148791
45,11551.6,0.95659,1.42989,1.21197,0.52334,0.44432,0.41709,0.30641,1.02626,1.57157,1.28805,0.000133637,0.000133637,0.000133637
46,11818.2,0.94118,1.40963,1.20495,0.51668,0.44798,0.42523,0.31142,1.02084,1.55815,1.28437,0.000119181,0.000119181,0.000119181
47,12086.3,0.94551,1.41764,1.208,0.52853,0.43764,0.42765,0.31419,1.02395,1.56426,1.28469,0.000105463,0.000105463,0.000105463
48,12354.9,0.93805,1.39198,1.19784,0.52031,0.44726,0.42531,0.31232,1.01852,1.56123,1.28263,9.25205e-05,9.25205e-05,9.25205e-05
49,12623.6,0.93858,1.39921,1.20558,0.53663,0.43923,0.42441,0.31321,1.02115,1.56092,1.28569,8.03886e-05,8.03886e-05,8.03886e-05
50,12882.6,0.92186,1.38197,1.19422,0.52096,0.44857,0.42667,0.31547,1.02253,1.56276,1.28302,6.91009e-05,6.91009e-05,6.91009e-05
51,13149.1,0.96273,1.36553,1.20305,0.52492,0.4351,0.4224,0.30962,1.03028,1.57483,1.28645,5.86881e-05,5.86881e-05,5.86881e-05
52,13401.9,0.94979,1.33975,1.19595,0.53462,0.43202,0.42463,0.31328,1.02348,1.57084,1.28937,4.91789e-05,4.91789e-05,4.91789e-05
53,13655,0.93537,1.31801,1.19129,0.53405,0.44031,0.42966,0.31649,1.02279,1.56562,1.28725,4.05994e-05,4.05994e-05,4.05994e-05
54,255.608,0.91553,1.37071,1.19036,0.53326,0.4461,0.43449,0.32202,1.01312,1.55085,1.2827,3.29729e-05,3.29729e-05,3.29729e-05
55,511.909,0.90217,1.35266,1.18248,0.53445,0.45038,0.43615,0.32271,1.01289,1.55178,1.28269,2.63206e-05,2.63206e-05,2.63206e-05
56,768.302,0.9127,1.35515,1.18836,0.53138,0.44532,0.43375,0.32198,1.01291,1.55451,1.28205,2.06605e-05,2.06605e-05,2.06605e-05
57,1024.27,0.90425,1.34824,1.18282,0.54248,0.44375,0.43449,0.32188,1.0134,1.55173,1.28272,1.60082e-05,1.60082e-05,1.60082e-05
58,1280.31,0.90224,1.34407,1.18623,0.54353,0.4431,0.43346,0.3209,1.0122,1.55057,1.28277,1.23765e-05,1.23765e-05,1.23765e-05
59,1537.22,0.90517,1.34882,1.18753,0.53864,0.4458,0.43473,0.32138,1.0129,1.55199,1.28281,9.77527e-06,9.77527e-06,9.77527e-06
60,1793.97,0.90019,1.33521,1.18614,0.53491,0.44686,0.43419,0.3217,1.01188,1.55084,1.28231,8.21167e-06,8.21167e-06,8.21167e-06
